id	Gene	SYMBOL
26	MNX1	MNX1
26	MT-TL1	MT-TL1
26	NEUROD1	NEUROD1
26	NEUROG3	NEUROG3
26	NKX2-2	NKX2-2
26	PDX1	PDX1
26	PIK3R1	PIK3R1
26	POLD1	POLD1
26	PPARG	PPARG
26	PTF1A	PTF1A
26	RFX6	RFX6
26	SLC19A2	SLC19A2
26	SLC29A3	SLC29A3
26	SLC2A2	SLC2A2
26	SLC40A1	SLC40A1
26	STAT3	STAT3
26	TFR2	TFR2
26	TRMT10A	TRMT10A
26	WFS1	WFS1
26	ZFP57	ZFP57
26	DMXL2	DMXL2
26	PLIN1	PLIN1
26	BLK	BLK
26	CEL	CEL
26	DCAF17	DCAF17
26	FOXC2	FOXC2
26	IL2RA	IL2RA
26	KLF11	KLF11
26	PAX4	PAX4
26	PCBD1	PCBD1
26	STAT1	STAT1
26	ZBTB20	ZBTB20
26	ACE	ACE
26	AQP2	AQP2
26	AVP	AVP
26	AVPR2	AVPR2
26	ENPP1	ENPP1
26	IL1RN	IL1RN
26	LIPC	LIPC
26	SPINK1	SPINK1
26	UGT1A1	UGT1A1
30	AGPS	AGPS
30	ARSE	ARSE
30	EBP	EBP
30	GNPAT	GNPAT
30	PEX7	PEX7
30	C16orf62	C16orf62
31	DUOX2	DUOX2
31	DUOXA2	DUOXA2
31	FOXE1	FOXE1
31	GLIS3	GLIS3
31	GNAS	GNAS
31	HESX1	HESX1
31	IGSF1	IGSF1
31	IRS4	IRS4
31	IYD	IYD
31	LHX3	LHX3
31	LHX4	LHX4
31	NKX2-1	NKX2-1
31	OTX2	OTX2
31	PAX8	PAX8
31	POU1F1	POU1F1
31	PRKAR1A	PRKAR1A
31	PROP1	PROP1
31	SECISBP2	SECISBP2
31	SLC16A2	SLC16A2
31	SLC26A4	SLC26A4
31	SLC26A7	SLC26A7
31	SLC5A5	SLC5A5
31	TBL1X	TBL1X
31	TG	TG
31	THRA	THRA
31	THRB	THRB
31	TPO	TPO
31	TRHR	TRHR
31	TSHB	TSHB
31	TSHR	TSHR
31	CDCA8	CDCA8
31	NKX2-5	NKX2-5
31	TUBB1	TUBB1
31	POLR2C	POLR2C
31	SOX3	SOX3
33	CD40LG	CD40LG
33	CTLA4	CTLA4
33	CYBA	CYBA
33	CYBB	CYBB
33	DCLRE1C	DCLRE1C
33	DOCK8	DOCK8
33	EPCAM	EPCAM
33	FOXP3	FOXP3
